1866 HK,China XLX Fertiliser Ltd
KIRK,Kirkland's Inc.
KLAC,KLA-Tencor Corporation
KNXA,Kenexa Corporation
KORS,Michael Kors Holdings Limited
KSS,Kohl's Corporation
KYAK,Kayak Software Corporation
LAMR,Lamar Advertising Co.
LDK,LDK Solar Co. Ltd.
LEAP,Leap Wireless International Inc.
LGF,Lionsgate Entertainment Corp.
LH,Laboratory Corporation of America Holdings
LHCG,LHC Group Inc.
LIFE,Life Technologies Corporation
LL,Lumber Liquidators Inc.
LLNW,Limelight Networks Inc.
LLTC,Linear Technology Corporation
LMNX,Luminex Corporation
LNKD,LinkedIn Corporation
LNN,Lindsay Corporation
LOGM,LogMeIn Inc.
LOPE,Grand Canyon Education Inc.
LOW,Lowe's Companies Inc.
LRCX,Lam Research Corporation
LSI,LSI Corporation
LTD,Limited Brands Inc.
LTM,Life Time Fitness Inc.
LVLT,Level 3 Communications Inc.
LYB,LyondellBasell Industries
MA,MasterCard Incorporated
MAKO,MAKO Surgical Corp
MASI,Masimo Corporation
MBLX,Metabolix Inc.
MCD,McDonald's Corporation
MCHX,Marchex Inc.
MCO,Moody's Corporation
MCP,Molycorp Inc.
MD,MEDNAX Inc.
MDAS,MedAssets Inc.
MDCA,MDC Partners Inc.
MDP,Meredith Corp.
MDRX,Allscripts Healthcare Solutions Inc.
MDSO,Medidata Solutions Inc.
MDT,Medtronic Inc.
MELI,MercadoLibre Inc.
MFRM,Mattress Firm Holding Corp.
MGI,MoneyGram International Inc.
MHP,The McGraw-Hill Companies Inc.
MITK,Mitek Systems Inc.
MMSI,Merit Medical Systems Inc.
MNKD,MannKind Corporation
MNRO,Monro Muffler Brake Inc.
MOBI,Sky-mobi Limited
MON,Monsanto Co.
MOS,The Mosaic Company
MPWR,Monolithic Power Systems Inc.
MR,Mindray Medical International Limited
MRX,Medicis Pharmaceutical Corp.
MU,Micron Technology Inc.
MWIV,MWI Veterinary Supply Inc.
MXWL,Maxwell Technologies Inc.
MYGN,Myriad Genetics Inc.
N,NetSuite Inc.
NANO,Nanometrics Incorporated
NBIX,Neurocrine Biosciences Inc.
NCMI,National CineMedia Inc.
NFLX,Netflix Inc.
NGVC,Natural Grocers by Vitamin Cottage Inc.
NLSN,Nielsen Holdings N.V.
NPTN,NeoPhotonics Corporation
NQ,NQ Mobile Inc.
NSPH,Nanosphere Inc.
NTAP,NetApp Inc.
NTES,NetEase.com Inc.
NUAN,Nuance Communications Inc.
NUVA,NuVasive Inc.
NVAX,Novavax Inc.
NVDQ,Novadaq Technologies Inc.
NWY,New York & Company Inc.
NXTM,NxStage Medical Inc.
OCN,Ocwen Financial Corporation
OCZ,OCZ Technology Group Inc.
OFIX,Orthofix International NV
OMCL,Omnicell Inc.
OMPI,Obagi Medical Products Inc.
ONE,Higher One Holdings Inc.
OPEN,OpenTable Inc.
ORCL,Oracle Corporation
ORLY,O'Reilly Automotive Inc.
OSIR,Osiris Therapeutics Inc.
OWW,Orbitz Worldwide Inc.
P,Pandora Media Inc.
PACB,Pacific Biosciences of California Inc.
PANL,Universal Display Corp.
PAY,VeriFone Systems Inc.
PCLN,Priceline.com Incorporated
PCRX,Pacira Pharmaceuticals Inc.
PCS,MetroPCS Communications Inc.
PDCO,Patterson Companies Inc.
PEET,Peet's Coffee & Tea Inc.
PETM,PetSmart Inc.
PETS,PetMed Express Inc.
PIX CN,PEER 1 Network Enterprise Inc.
PLCM,Polycom Inc.
PLOW,Douglas Dynamics Inc.
PNRA,Panera Bread Company
PODD,Insulet Corporation
POL,PolyOne Corporation
POOL,Pool Corporation
POWI,Power Integrations Inc.
PRLB,Proto Labs Inc.
PRTS,U.S. Auto Parts Network Inc.
PRX,Par Pharmaceutical Companies Inc.
PRXL,PAREXEL International Corporation
PSUN,Pacific Sunwear of California Inc.
PVH,PVH Corp.
PWER,Power-One Inc.
PWR,Quanta Services Inc.
PWRD,Perfect World Co. Ltd.
QCOM,QUALCOMM Inc.
QCOR,Questcor Pharmaceuticals Inc.
QGEN,QIAGEN N.V.
QSII,Quality Systems Inc.
RAX,Rackspace Hosting Inc.
RBCN,Rubicon Technology Inc.
REGI,Renewable Energy Group
REGN,Regeneron Pharmaceuticals Inc.
RENT,Rentrak Corporation
RGC,Regal Entertainment Group
RHT,Red Hat Inc.
RIGL,Rigel Pharmaceuticals
RL,Ralph Lauren Corporation
RLD,RealD Inc.
RLOC,ReachLocal Inc.
RMD,ResMed Inc.
RNWK,RealNetworks Inc.
ROST,Ross Stores Inc.
ROVI,Rovi Corporation
RRGB,Red Robin Gourmet Burgers Inc.
RST,Rosetta Stone Inc.
RSTI,Rofin-Sinar Technologies Inc.
RUE,rue21 Inc.
RUTH,Ruth's Hospitality Group Inc.
RVBD,Riverbed Technology Inc.
S,Sprint Nextel Corp.
SAAS,inContact Inc.
SAPE,Sapient Corporation
SBAC,SBA Communications Corp.
SBUX,Starbucks Corporation
SCOR,comScore Inc.
SCR,Simcere Pharmaceutical Group
SCSS,Select Comfort Corporation
SGEN,Seattle Genetics Inc.
SGMO,Sangamo BioSciences Inc.
SGNT,Sagent Pharmaceuticals Inc.
SHPG,Shire plc
SINA,SINA Corporation
SIRI,Sirius XM Radio Inc.
SKUL,Skullcandy Inc.
SLAB,Silicon Laboratories Inc.
SLH,Solera Holdings Inc.
SLXP,Salix Pharmaceuticals Ltd.
SMA,Symmetry Medical Inc.
SMT,SMART Technologies Inc.
SNDK,SanDisk Corp.
SNI,Scripps Networks Interactive Inc.
SNN,Smith & Nephew plc
SNTS,Santarus Inc.
SOHU,Sohu.com Inc.
SOL,ReneSola Ltd.
SOMX,Somaxon Pharmaceuticals Inc.
SONC,Sonic Corp.
SPNC,Spectranetics Corporation (The)
SPWR,SunPower Corporation
SQNM,Sequenom Inc.
SREV,ServiceSource International Inc.
SRPT,Sarepta Therapeutics Inc.
SSRX,3SBio Inc.
SSYS,Stratasys Inc.
STJ,St. Jude Medical Inc.
STP,Suntech Power Holdings Co. Ltd.
STRA,Strayer Education Inc.
SUPN,Supernus Pharmaceuticals Inc.
SVA,Sinovac Biotech Ltd.
SYK,Stryker Corporation
SZYM,Solazyme Inc.
T,AT&T Inc.
TEA,Teavana Holdings Inc.
TER,Teradyne Inc.
TEVA,Teva Pharmaceutical Industries Limited
TFM,The Fresh Market Inc.
TGT,Target Corporation
THOR,Thoratec Corporation
THRX,Theravance Inc.
TIBX,TIBCO Software Inc.
TITN,Titan Machinery Inc.
TLYS,Tilly's Inc.
TMH,Team Health Holdings Inc.
TNAV,TeleNav Inc.
TPX,Tempur-Pedic International Inc.
TRI,Thomson Reuters Corporation
TRIP,TripAdvisor Inc.
TRMB,Trimble Navigation Limited
TRNX,Tornier N.V.
TSCO,Tractor Supply Company
TSL,Trina Solar Limited
TSON,TranS1 Inc.
TSRX,Trius Therapeutics Inc.
TTWO,Take-Two Interactive Software Inc.
UA,Under Armour Inc.
UCTT,Ultra Clean Holdings Inc.
ULTA,Ulta Salon Cosmetics & Fragrance Inc.
ULTI,Ultimate Software Group Inc. (The)
UNFI,United Natural Foods Inc.
UQM,UQM Technologies Inc.
URBN,Urban Outfitters Inc.
URI,United Rentals Inc.
UTI,Universal Technical Institute Inc.
V,Visa Inc.
VCI,Valassis Communications Inc.
VCLK,ValueClick Inc.
VCRA,Vocera Communications Inc.
VECO,Veeco Instruments Inc.
VFC,VF Corporation
VIAB,Viacom Inc.
VIPS,Vipshop Holdings Limited
VIVO,Meridian Bioscience Inc.
VLTR,Volterra Semiconductor Corporation
VMW,VMware Inc.
VNET,21Vianet Group Inc.
VOLC,Volcano Corporation
VPHM,ViroPharma Incorporated
VPRT,Vistaprint NV
VRA,Vera Bradley Inc.
VRTX,Vertex Pharmaceuticals Inc.
VRX,Valeant Pharmaceuticals International
VSI,Vitamin Shoppe Inc.
VVTV,ValueVision Media Inc.
VZ,Verizon Communications Inc.
WAC,Walter Investment Management Corp.
WBC,Wabco Holdings Inc.
WETF,WisdomTree Investments Inc.
WFM,Whole Foods Market Inc.
WFR,MEMC Electronic Materials Inc.
WIN,Windstream Corporation
WIT,Wipro Limited
WMGI,Wright Medical Group Inc.
WNS,WNS (Holdings) Limited
WOOF,VCA Antech Inc.
WPI,Watson Pharmaceuticals Inc.
WPRT,Westport Innovations Inc.
WRC,Warnaco Group Inc. (The)
WSM,Williams-Sonoma Inc.
WTSLA,Wet Seal Inc. (The)
WU,Western Union Co.
WWWW,Web.com Inc.
WX,WuXi AppTec Inc.
WXS,Wright Express Corp.
XIDE,Exide Technologies
XLNX,Xilinx Inc.
XNPT,XenoPort Inc.
XRS,TAL Education Group ADR
XUE,Xueda Education Group
YELP,Yelp Inc.
YGE,Yingli Green Energy Holding Company Limited
YHOO,Yahoo! Inc.
YMI,YM BioSciences Inc.
YNDX,Yandex N. V.
YOKU,Youku.com Inc.
ZMH,Zimmer Holdings Inc.
ZNGA,Zynga Inc.
ZQK,Quiksilver Inc.
ZUMZ,Zumiez Inc.
ZZ,Sealy Corporation
